config,resolution,cap_max
01.json,4,4400000
03.json,1,1440000
05.json,1,1000000
06.json,1,5000000
10.json,1,2850000
13.json,1,3000000
14.json,1,1380000
15.json,1,1470000
bicycle.json,4,5900000
bonsai.json,2,1300000
chair.json,1,270000
counter.json,2,1200000
drjohnson.json,1,3400000
drums.json,1,350000
ficus.json,1,300000
garden.json,4,5200000
hotdog.json,1,150000
kitchen.json,2,1800000
lego.json,1,325000
materials.json,1,290000
mic.json,1,320000
playroom.json,1,2500000
room.json,2,1500000
stump.json,4,4750000
train.json,1,1100000
truck.json,1,2600000
