scene,variant,model_path,rendered_images,start_time,end_time,duration_seconds,render_fps,exit_code
mic,baseline,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_baseline_seed0,200,2026-06-13T15:10:51.463991+08:00,2026-06-13T15:11:25.755766+08:00,34.292,5.8323,0
mic,h1h2_edge_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h1h2_edge_systematic_80cap,200,2026-06-13T15:31:49.684349+08:00,2026-06-13T15:32:22.324786+08:00,32.64,6.1275,0
train,baseline,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_baseline_seed0,38,2026-06-13T16:22:41.266931+08:00,2026-06-13T16:23:02.789110+08:00,21.522,1.7656,0
train,h1_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_edge,38,2026-06-13T17:12:17.439332+08:00,2026-06-13T17:12:38.747585+08:00,21.308,1.7834,0
train,h1_delayed_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_delayed_edge,38,2026-06-13T22:51:13.516445+08:00,2026-06-13T22:51:36.901089+08:00,23.385,1.625,0
train,h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h2_systematic_80cap_full,38,2026-06-13T23:42:26.729792+08:00,2026-06-13T23:42:49.772315+08:00,23.043,1.6491,0
train,h1delayed_h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1delayed_h2_systematic_80cap,38,2026-06-14T00:25:33.558915+08:00,2026-06-14T00:25:56.188674+08:00,22.63,1.6792,0
train,hardview_sampling,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_hardview_sampling,38,2026-06-14T09:55:01.981198+08:00,2026-06-14T09:55:25.507438+08:00,23.526,1.6152,0
mic,h1_delayed_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h1_delayed_edge,200,2026-06-14T10:24:25.204215+08:00,2026-06-14T10:25:02.873364+08:00,37.669,5.3094,0
mic,h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h2_systematic_80cap,200,2026-06-14T10:41:41.197321+08:00,2026-06-14T10:42:18.544906+08:00,37.348,5.355,0
train,h1_mse_delayed_w005_s7000,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_mse_delayed_w005_s7000,38,2026-06-14T11:45:55.153436+08:00,2026-06-14T11:46:25.137165+08:00,29.983,1.2674,0
